country_code,country_name,parent_handle,parent_title,option_names,variant_label,variant_sku,retail_price,compare_at_price,catalog_handle
CL,Chile,cadena-chinesca-edicion-limitada-hombre,Cadena Chinesca Edición Limitada Hombre,Grosor,4mm/65cm,,59500.0,85000.0,cadena-chinesca-edicion-limitada-hombre--4mm-65cm
CL,Chile,cadena-chinesca-edicion-limitada-hombre,Cadena Chinesca Edición Limitada Hombre,Grosor,6mm/65cm,,72500.0,105000.0,cadena-chinesca-edicion-limitada-hombre--6mm-65cm
CL,Chile,cadena-chinesca-edicion-limitada-hombre,Cadena Chinesca Edición Limitada Hombre,Grosor,8mm/65cm,,84000.0,120000.0,cadena-chinesca-edicion-limitada-hombre--8mm-65cm
CL,Chile,cadena-chinesa-hombre,Cadena Chinesca Hombre,Grosor,4mm/65cm,44883,59500.0,85000.0,cadena-chinesa-hombre--4mm-65cm
CL,Chile,cadena-chinesa-hombre,Cadena Chinesca Hombre,Grosor,6mm/65cm,44888,72500.0,105000.0,cadena-chinesa-hombre--6mm-65cm
CL,Chile,cadena-chinesa-hombre,Cadena Chinesca Hombre,Grosor,8mm/65cm,,84000.0,120000.0,cadena-chinesa-hombre--8mm-65cm
CL,Chile,cadena-cubana-hombre,Cadena Cubana Hombre,Medida,4mm/65cm,42397,52500.0,75000.0,cadena-cubana-hombre--4mm-65cm
CL,Chile,cadena-cubana-hombre,Cadena Cubana Hombre,Medida,6mm/65cm,42398,70000.0,100000.0,cadena-cubana-hombre--6mm-65cm
CL,Chile,cadena-cubana-hombre,Cadena Cubana Hombre,Medida,9mm/65cm,42399,81900.0,117000.0,cadena-cubana-hombre--9mm-65cm
CL,Chile,cadena-egipcia-hombre,Cadena Egipcia Hombre,Medida,4mm/65cm,,59500.0,85000.0,cadena-egipcia-hombre--4mm-65cm
CL,Chile,cadena-egipcia-hombre,Cadena Egipcia Hombre,Medida,6mm/65cm,,72500.0,105000.0,cadena-egipcia-hombre--6mm-65cm
CL,Chile,cadena-entrelazada-hombre,Cadena Entrelazada Hombre,Medida,5mm/65cm,,69184.0,92245.0,cadena-entrelazada-hombre--5mm-65cm
CL,Chile,cadena-entrelazada-hombre,Cadena Entrelazada Hombre,Medida,6mm/65mm,,72825.0,97100.0,cadena-entrelazada-hombre--6mm-65mm
CL,Chile,cadena-cartier-hombre-1,CADENA ESLABON HOMBRE,Medida,6mm/65cm,42500,24120.0,,cadena-cartier-hombre-1--6mm-65cm
CL,Chile,cadena-cartier-hombre-1,CADENA ESLABON HOMBRE,Medida,7mm/65cm,42520,26392.0,,cadena-cartier-hombre-1--7mm-65cm
CL,Chile,cadena-cartier-hombre,Cadena Eslabon Hombre,Medida,6mm/65cm,42500,24120.0,100000.0,cadena-cartier-hombre--6mm-65cm
CL,Chile,cadena-cartier-hombre,Cadena Eslabon Hombre,Medida,7mm/65cm,42520,26392.0,110000.0,cadena-cartier-hombre--7mm-65cm
CL,Chile,cadena-franco-hombre4mm,Cadena Franco Hombre 4mm,Largo | Medida,3mm/65cm / 65cm,,51000.0,68000.0,cadena-franco-hombre4mm--3mm-65cm-65cm
CL,Chile,cadena-franco-hombre4mm,Cadena Franco Hombre 4mm,Largo | Medida,4mm/65cm / 65cm,,56512.0,75000.0,cadena-franco-hombre4mm--4mm-65cm-65cm
CL,Chile,cadena-franco-hombre4mm,Cadena Franco Hombre 4mm,Largo | Medida,6mm/65cm / 65cm,,65643.0,85000.0,cadena-franco-hombre4mm--6mm-65cm-65cm
CL,Chile,cadena-grabada-hombre,Cadena Grabada Hombre,Largo | Medida,4mm/65cm / 65cm,,52500.0,75000.0,cadena-grabada-hombre--4mm-65cm-65cm
CL,Chile,cadena-grabada-hombre,Cadena Grabada Hombre,Largo | Medida,6mm/65cm / 65cm,,70000.0,100000.0,cadena-grabada-hombre--6mm-65cm-65cm
CL,Chile,cadena-grabada-hombre,Cadena Grabada Hombre,Largo | Medida,8mm/65cm / 65cm,,81900.0,117000.0,cadena-grabada-hombre--8mm-65cm-65cm
CL,Chile,cadena-granocafe-hombre,Cadena Grano de Café Hombre,Medida,6mm/65cm,,65900.0,87390.0,cadena-granocafe-hombre--6mm-65cm
CL,Chile,cadena-granocafe-hombre,Cadena Grano de Café Hombre,Medida,7mm/65cm,,72825.0,97100.0,cadena-granocafe-hombre--7mm-65cm
CL,Chile,cadena-lazo-hombre,Cadena Lazo Hombre,Largo | Medida,4mm/65cm / 65cm,,52500.0,75000.0,cadena-lazo-hombre--4mm-65cm-65cm
CL,Chile,cadena-lazo-hombre,Cadena Lazo Hombre,Largo | Medida,6mm/65cm / 65cm,,70000.0,100000.0,cadena-lazo-hombre--6mm-65cm-65cm
CL,Chile,cadena-lazo-hombre,Cadena Lazo Hombre,Largo | Medida,8mm/65cm / 65cm,,81900.0,117000.0,cadena-lazo-hombre--8mm-65cm-65cm
CL,Chile,cadena-rustica-hombre,Cadena Rustica Hombre,Largo | Medida,4mm/65cm / 65cm,,59500.0,85000.0,cadena-rustica-hombre--4mm-65cm-65cm
CL,Chile,cadena-rustica-hombre,Cadena Rustica Hombre,Largo | Medida,6mm/65cm / 65cm,,72500.0,10500.0,cadena-rustica-hombre--6mm-65cm-65cm
CL,Chile,cadena-serpiente-hombre,Cadena Serpiente Hombre,Largo | Medida,4mm/65cm / 65cm,,52500.0,75000.0,cadena-serpiente-hombre--4mm-65cm-65cm
CL,Chile,cadena-serpiente-hombre,Cadena Serpiente Hombre,Largo | Medida,6mm/65cm / 65cm,,70000.0,100000.0,cadena-serpiente-hombre--6mm-65cm-65cm
CL,Chile,cadena-serpiente-hombre,Cadena Serpiente Hombre,Largo | Medida,8mm/65cm / 65cm,,81900.0,117000.0,cadena-serpiente-hombre--8mm-65cm-65cm
CL,Chile,cadena-veneciana-hombre,Cadena Veneciana Hombre,Largo | Medida,4mm/65cm / 65cm,,50978.0,68000.0,cadena-veneciana-hombre--4mm-65cm-65cm
CL,Chile,cadena-veneciana-hombre,Cadena Veneciana Hombre,Largo | Medida,6mm/65cm / 65cm,,65543.0,87390.0,cadena-veneciana-hombre--6mm-65cm-65cm
CL,Chile,pulsera-chinesca-edicion-limitada-hombre,Pulsera Chinesca Edición Limitada Hombre,Medida,8mm/20cm,,50600.0,79000.0,pulsera-chinesca-edicion-limitada-hombre--8mm-20cm
CL,Chile,pulsera-chinesca-edicion-limitada-hombre,Pulsera Chinesca Edición Limitada Hombre,Medida,3mm/20cm,,38400.0,60000.0,pulsera-chinesca-edicion-limitada-hombre--3mm-20cm
CL,Chile,pulsera-chinesca-edicion-limitada-hombre,Pulsera Chinesca Edición Limitada Hombre,Medida,6mm/20cm,,42900.0,67000.0,pulsera-chinesca-edicion-limitada-hombre--6mm-20cm
CL,Chile,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Medida,8mm/20cm,54890,50600.0,79000.0,pulsera-chinesca-hombre--8mm-20cm
CL,Chile,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Medida,3mm/20cm,54883-0,38400.0,60000.0,pulsera-chinesca-hombre--3mm-20cm
CL,Chile,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Medida,6mm/20cm,54888-1,42900.0,67000.0,pulsera-chinesca-hombre--6mm-20cm
