pais,codigo,titulo_tienda,sku_tienda,handle,precio_retail_tienda,motivo,sugerencia_excel_nombre,sugerencia_excel_sku,sugerencia_parecido,sugerencia_mayorista_excel
CHILE,CL,Cadena Cartier Mujer,(vacío),cadena-cartier-mujer,38500.0,sin_sku,C. CARTIER 3mm  45cm,42490,0.4,23595.3
CHILE,CL,Cadena China + Dije Virgen Piedras,44883 - 26085,cadena-china-dije-virgen-piedras,76930.0,sku_compuesto,D. VIRGEN PIEDRAS,26085,0.6,30780.700000000004
CHILE,CL,Cadena Chinesca 3mm 65cm,(vacío),cadena-chinesca-3mm-65cm,51500.0,sin_sku,C. CARTIER 3mm  65cm,42496,0.6,29130
CHILE,CL,Cadena Chinesca Edición Limitada Hombre,(vacío),cadena-chinesca-edicion-limitada-hombre,84000.0,sin_sku,C. CHINESCA 3mm  45cm,44881,0.29,26877.28
CHILE,CL,Cadena Continua Hombre,(vacío),cadena-continua-hombre,72437.0,sin_sku,C. CUBANA CONTINUA 2mm  45cm,43585,0.33,21750.4
CHILE,CL,Cadena Cordon Hombre,(vacío),cadena-cordon-hombre,52650.0,sin_sku,C. CORDON 3mm  45cm,44020,0.4,16601.325714285736
CHILE,CL,Cadena Cubana + Dije Madero,42395 - 25444,cadena-cubana-dije-madero,82600.0,sku_compuesto,D. MADERO NUEVO,25444,0.4,29906.8
CHILE,CL,Cadena Cubana + Dije Virgen Guadalupe,42395 - 26953,cadena-cubana-dije-virgen-milagrosa,82600.0,sku_compuesto,D. VIRGEN TALLADA,26062,0.33,23692.399999999998
CHILE,CL,Cadena Cubana Hombre,42399,cadena-cubana-hombre,81900.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.4,24663.399999999998
CHILE,CL,Cadena Cubana Mujer,(vacío),cadena-cubana-mujer,38500.0,sin_sku,C. CUBANA 3mm  45cm,42386,0.4,24663.399999999998
CHILE,CL,Cadena Egipcia Hombre,(vacío),cadena-egipcia-hombre,72500.0,sin_sku,C. EGIPCIA  3mm  45cm,43488,0.4,20973.600000000002
CHILE,CL,Cadena Egipcia Mujer,(vacío),cadena-egipcia-mujer,42000.0,sin_sku,C. EGIPCIA  3mm  45cm,43488,0.4,20973.600000000002
CHILE,CL,Cadena Entrelazada Hombre,(vacío),cadena-entrelazada-hombre,72825.0,sin_sku,C. GRABADA 4mm  65cm,41189,0.17,27382.200000000004
CHILE,CL,Cadena Eslabon Hombre,42520,cadena-cartier-hombre,26392.0,nombre_ambiguo_o_bajo,C. GRABADA 4mm  65cm,41189,0.17,27382.200000000004
CHILE,CL,Cadena Franco Mujer 2mm,(vacío),cadena-franco-mujer2mm,38500.0,sin_sku,C. VENECIANA 2mm  45cm,42687,0.33,17575.100000000002
CHILE,CL,Cadena Grabada Hombre,(vacío),cadena-grabada-hombre,81900.0,sin_sku,C. GRABADA 4mm  65cm,41189,0.4,27382.200000000004
CHILE,CL,Cadena Grabada Mujer,(vacío),cadena-grabada-mujer,38500.0,sin_sku,C. GRABADA 4mm  65cm,41189,0.4,27382.200000000004
CHILE,CL,Cadena Grano de Cafe + Cruz Protectora,42900 - 24545,cadena-grano-de-cafe-cruz-protectora,73500.0,sku_compuesto,C. GRANO DE CAFE 6mm  45cm,42982,0.43,34664.700000000004
CHILE,CL,Cadena Grano de Café Hombre,(vacío),cadena-granocafe-hombre,72825.0,sin_sku,C. GRANO DE CAFE 6mm  45cm,42982,0.5,34664.700000000004
CHILE,CL,Cadena Lazo + Dije Dolar,42793 -26787,cadena-lazo-dije-dolar,80500.0,sku_compuesto,D. DOLAR,26930,0.5,21750.4
CHILE,CL,Cadena Lazo + Dije Madero,42793 - 25444,cadena-lazo-dije-madero,80500.0,sku_compuesto,D. MADERO NUEVO,25444,0.4,29906.8
