Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pulsera-balin-5-italiana-el-par,Pulsera Balín #5 Italiana ( EL PAR),"<p> <strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></p>
<p><strong data-mce-fragment=""1"">NEGRA O ROJA</strong></p>
<p data-mce-fragment=""1"">PULSERA ITALIANA BALÍN #5</p>
<p data-mce-fragment=""1"">GARANTÍA <span data-mce-fragment=""1"">💯 <strong data-mce-fragment=""1"">( INCLUYE TARJETA DE GARANTÍA)</strong></span></p>
<p data-mce-fragment=""1"">Sobre nuestras prendas:<br data-mce-fragment=""1"">✅ Artículos para lucir siempre<br data-mce-fragment=""1"">✅ Material: Oro 18k laminado<br data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)<br data-mce-fragment=""1"">✅ Garantía de 5 año en todas las prendas</p>",kevinjewelryorolaminado,,"","",true,Title,Default Title,,,,,,,,"",500.0,shopify,continue,manual,149000.00,220000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0828/3540/7145/products/parejaas.jpg?v=1695327463,1,"",false,,,,kg,,,active
pulsera-balin-5-italiana-y-lisa-neopreno,Pulsera Balín #5 Italiana y Lisa + Neopreno,"<p> <strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></p>
<p data-mce-fragment=""1"">PULSERA ITALIANA Y LISA + NEOPRENO BALÍN #5</p>
<p data-mce-fragment=""1"">GARANTÍA <span data-mce-fragment=""1"">💯 <strong data-mce-fragment=""1"">( INCLUYE TARJETA DE GARANTÍA)</strong></span></p>
<p data-mce-fragment=""1"">Sobre nuestras prendas:<br data-mce-fragment=""1"">✅ Artículos para lucir siempre<br data-mce-fragment=""1"">✅ Material: Oro 18k laminado<br data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)<br data-mce-fragment=""1"">✅ Garantía de 5 año en todas las prendas</p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",kevinjewelryorolaminado,,"","",true,Color,ROJA,,,,,,,,"",500.0,shopify,continue,manual,159000.00,280000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0828/3540/7145/products/italianalisayneopreno.jpg?v=1695327522,1,"",false,,,,kg,,,active
pulsera-balin-5-italiana-y-lisa-neopreno,,,,,,,,,NEGRA,,,,,,,,"",500.0,shopify,continue,manual,159000.00,280000.00,true,false,,,,,,,,,,,,,kg,,,
pulsera-balin-5-italiana-y-lisa,Pulsera Balín #5 Italiana y Lisa,"<p> <strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></p>
<p data-mce-fragment=""1"">PULSERA ITALIANA Y LISA BALÍN #5</p>
<p data-mce-fragment=""1"">GARANTÍA <span data-mce-fragment=""1"">💯 <strong data-mce-fragment=""1"">( INCLUYE TARJETA DE GARANTÍA)</strong></span></p>
<p data-mce-fragment=""1"">Sobre nuestras prendas:<br data-mce-fragment=""1"">✅ Artículos para lucir siempre<br data-mce-fragment=""1"">✅ Material: Oro 18k laminado<br data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)<br data-mce-fragment=""1"">✅ Garantía de 5 año en todas las prendas</p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",kevinjewelryorolaminado,Sin categoría,"","",true,Color,NEGRO,,,,,,,,"",500.0,shopify,continue,manual,199900.00,320000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0828/3540/7145/products/italianaylisa.jpg?v=1695327525,1,"",false,,,,kg,,,active
pulsera-balin-5-italiana-y-lisa,,,,,,,,,ROJO,,,,,,,,"",500.0,shopify,continue,manual,199900.00,320000.00,true,false,,,,,,,,,,,,,kg,,,
pulsera-balin-6-diamantado-ref-0210,Pulsera Balín #6 Diamantado  + NEOPRENO Ref 0210,"<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></p>
<p data-mce-fragment=""1"">PULSERA DIAMANTADA BALÍN #6</p>
<p data-mce-fragment=""1"">GARANTÍA <span data-mce-fragment=""1"">💯 <strong data-mce-fragment=""1"">( INCLUYE TARJETA DE GARANTÍA)</strong></span></p>
<p data-mce-fragment=""1"">Sobre nuestras prendas:<br data-mce-fragment=""1"">✅ Artículos para lucir siempre<br data-mce-fragment=""1"">✅ Material: Oro 18k laminado<br data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)<br data-mce-fragment=""1"">✅ Garantía de 5 año en todas las prendas</p>
<p><br>ÚNICO REQUISITO: Querer lucir al mejor estilo ⚡</p>",KEVIN JEWELRY,,"","",true,Title,Default Title,,,,,,,,'0210,500.0,shopify,continue,manual,159000.00,229000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0828/3540/7145/products/REF0210.jpg?v=1695327773,1,"",false,,,,kg,,,unlisted
pulsera-balin-6-diamantado-ref-0209,Pulsera Balín #6 Diamantado,"<h1 data-mce-fragment=""1""> <span style=""color: #ed0b0b;""><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span>
</h1>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">PULSERA DIAMANTADA BALÍN #6 </strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">ROJA O NEGRA </strong></p>
<p data-mce-fragment=""1"">GARANTÍA <span data-mce-fragment=""1"">💯 <strong data-mce-fragment=""1"">( INCLUYE TARJETA DE GARANTÍA)</strong></span></p>
<p data-mce-fragment=""1"">Sobre nuestras prendas:<br data-mce-fragment=""1"">✅ Artículos para lucir siempre<br data-mce-fragment=""1"">✅ Material: Oro 18k laminado<br data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)<br data-mce-fragment=""1"">✅ Garantía de 5 año en todas las prendas</p>",KEVIN JEWELRY,,"","",true,Color,ROJA,,,,,,,,'0209,500.0,shopify,continue,manual,239000.00,370000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0828/3540/7145/products/REF0209.jpg?v=1695327776,1,"",false,,,,kg,,,unlisted
pulsera-balin-6-diamantado-ref-0209,,,,,,,,,NEGRA,,,,,,,,'0210,500.0,shopify,continue,manual,239000.00,370000.00,true,false,,,,,,,,,,,,,kg,,,
arete-topo-sol-rombo-34732,Arete Topo Sol Rombo 34732,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Joyas en oro 18k laminado, todas nuestras joyas cuenta con 3 capas de oro externas, tienen la misma apariencia y son libres de níquel lo cual las hace antialérgicas, resisten todo tipo de ambiente (mar, perfumes, cremas). </span></p>
<p><strong data-mce-fragment=""1"">FÁCILES Y SEGUROS MEDIOS DE PAGO</strong> 💯<br></p>
<p><span data-mce-fragment=""1"">✅ PAGOS EN EFECTIVO (EFECTY, GANA, BALOTO, ETC..)<br data-mce-fragment=""1"">✅ PAGOS DEBITO POR PSE<br data-mce-fragment=""1"">✅ PAGOS CON TARJETA DE CRÉDITO <br data-mce-fragment=""1""> Sobre nuestras prendas:<br data-mce-fragment=""1"">✅ Artículos para lucir siempre<br data-mce-fragment=""1"">✅ Material: Oro 18k laminado<br data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)  <br data-mce-fragment=""1"">✅ Garantía de 1 año en todas las prendas<br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">NOTA SOBRE GARANTÍA:  </strong></span></p>
<p><span data-mce-fragment=""1"">El cliente asume el costo de envíos en caso de garantía, la garantía solo es valida por defecto de fabrica o cambio por tonalidad de la prenda ( si se rompe no es valida la garantía ).<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">ÚNICO REQUISITO:</strong> Querer lucir al mejor estilo ⚡</span></p>",KEVIN JEWELRY,Sin categoría,"","",false,Title,Default Title,,,,,,,,'34732,500.0,shopify,continue,manual,69000.00,85000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0828/3540/7145/products/AGEJ0618.jpg?v=1695328074,1,"",false,,,,kg,,,draft
copia-de-arete-corazon-piedras-33003,Arete Osos 33003,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Joyas en oro 18k laminado, todas nuestras joyas cuenta con 3 capas de oro externas, tienen la misma apariencia y son libres de níquel lo cual las hace antialérgicas, resisten todo tipo de ambiente (mar, perfumes, cremas). </span></p>
<p><strong data-mce-fragment=""1"">FÁCILES Y SEGUROS MEDIOS DE PAGO</strong> 💯<br></p>
<p><span data-mce-fragment=""1"">✅ PAGOS EN EFECTIVO (EFECTY, GANA, BALOTO, ETC..)<br data-mce-fragment=""1"">✅ PAGOS DEBITO POR PSE<br data-mce-fragment=""1"">✅ PAGOS CON TARJETA DE CRÉDITO <br data-mce-fragment=""1""> Sobre nuestras prendas:<br data-mce-fragment=""1"">✅ Artículos para lucir siempre<br data-mce-fragment=""1"">✅ Material: Oro 18k laminado<br data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)  <br data-mce-fragment=""1"">✅ Garantía de 1 año en todas las prendas<br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">NOTA SOBRE GARANTÍA:  </strong></span></p>
<p><span data-mce-fragment=""1"">El cliente asume el costo de envíos en caso de garantía, la garantía solo es valida por defecto de fabrica o cambio por tonalidad de la prenda ( si se rompe no es valida la garantía ).<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">ÚNICO REQUISITO:</strong> Querer lucir al mejor estilo ⚡</span></p>",KEVIN JEWELRY,,"","",true,Title,Default Title,,,,,,,,'33003,500.0,shopify,continue,manual,79000.00,90000.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0828/3540/7145/products/3_2.jpg?v=1695328077,1,"",false,,,,kg,,,active
