Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Espana,Price / Espana,Compare At Price / Espana,Status
tobillera-veneciana-puntos-ref-54861,Tobillera Veneciana Puntos,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'54861,500.0,shopify,continue,manual,50.00,75.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/0021447b-5781-4775-81e4-a3ae74f37fc1.jpg?v=1662854029,1,"",false,,,,kg,,,true,,,active
tobillera-militar-ref-53984,Tobillera Militar,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'53984,500.0,shopify,continue,manual,49.00,90.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/913d106e-5a1d-45ab-8e02-56f926d57675.jpg?v=1662854031,1,"",false,,,,kg,,,true,,,active
tobillera-militar-ref-54661,Tobillera Escalera destellos,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",false,Title,Default Title,,,,,,,,'54754,500.0,shopify,continue,manual,50.00,75.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/06a482f7-c417-46cb-9b96-6fad95603b62.jpg?v=1662854032,1,"",false,,,,kg,,,true,,,active
33452,Entorchada Mediana,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'34596,500.0,shopify,continue,manual,47.00,49.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/4_1.jpg?v=1662854112,1,"",false,,,,kg,,,true,,,active
34008,Colgante Rostro,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",false,Title,Default Title,,,,,,,,'24552,500.0,shopify,continue,manual,44.00,59.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/CKRE2459.jpg?v=1662854113,1,"",false,,,,kg,,,true,,,active
dije-1,Dije Milagroso Mediana,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'23369,500.0,shopify,continue,manual,45.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/HETX5699.jpg?v=1662854117,1,"",false,,,,kg,,,true,,,active
24853,Dije Guadalupe Tallada,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'24550,500.0,shopify,continue,manual,35.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/LYFK0479.jpg?v=1662854119,1,"",false,,,,kg,,,true,,,active
7,Dije Dalí,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",true,Title,Default Title,,,,,,,,'23055,500.0,shopify,continue,manual,45.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/RCPT6419.jpg?v=1662854121,1,"",false,,,,kg,,,true,,,active
24441,Dije Cruz Sagrada,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,'23035,500.0,shopify,continue,manual,59.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/QGCM7934.jpg?v=1749300126,1,"",false,,,,kg,,,true,,,active
23267,Dije Árbol de la Vida,"<h3><span style=""color: #ff2a00;""><em><strong>PAGAS AL RECIBIR O ADELANTADO  </strong></em></span></h3>
<p>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA ) Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad,<span> </span><strong><span>CUENTA CON GARANTÍA DE 48 MESES</span></strong>:<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span style=""color: #ff2a00;""><strong>PAGAR AL RECIBIR:</strong></span> En este método de pago, puedes pagar en el momento de la entrega 📦 (no se envía si no se logra confirmación por llama o por WhatsApp<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>ENVÍOS A ISLAS:</strong></span> </span>Se pueden realizar pero cuentan con costos mas elevados de envíos y se debe cancelar el valor del envío por adelantado ( solo el valor del envío si desea que sea pago al recibir )<br data-mce-fragment=""1""><br data-mce-fragment=""1"">✅ Certificado de garantía  </p>
<p>✅ Material: Oro 18k laminado </p>
<p>✅ + 12.500 clientes felices  </p>
<p>✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes) </p>
<p>  Todas nuestras joyas son cubiertas con 3 capas de oro 18K , son resistentes al agua de mar, piscinas y sudoración 100% garantizado<br data-mce-fragment=""1""><br data-mce-fragment=""1""><span><span style=""color: #ff2a00;""><strong>POLÍTICAS DE DEVOLUCIÓN:</strong></span> </span>puedes ver todas las políticas en el siguiente link https://isisgoldjewelry18laminado.com/policies/refund-policy</p>",ISIS JOYERÍA,,"","",false,Title,Default Title,,,,,,,,'24853,500.0,shopify,deny,manual,35.00,49.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0625/4061/1761/products/LJIK6526.jpg?v=1662854127,1,"",false,,,,kg,,,true,,,active
