Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cadena-lazo-dije-madero-pulsera-gratis,Cadena Lazo + Dije Madero (PULSERA GRATIS,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,42793 - 25444 - 52793,500.0,shopify,continue,manual,84900,129900,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0526.jpg?v=1784478376,1,"",false,,,,kg,,,active
cadena-lazo-dije-madero-pulsera-gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Pulsera_lazo_6mm.png?v=1780456262,2,"",,,,,,,,
cadena-lazo-dije-madero-pulsera-gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0515.jpg?v=1784478480,3,"",,,,,,,,
cadena-lazo-dije-madero-pulsera-gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0519.jpg?v=1784478429,4,"",,,,,,,,
cadena-lazo-dije-madero-pulsera-gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Cadena_lazo_4mm.png?v=1780455123,5,"",,,,,,,,
cadena-singapur-65cm-3mm-dije-virgen-tallada,Cadena Singapur 65cm 3mm + Dije Virgen Tallada,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,44543 - 26062,500.0,shopify,continue,manual,64500,105000,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0555_d415761e-0a7c-4ea4-bcc2-fc057320ed74.jpg?v=1784686560,1,"",false,,,,kg,,,active
cadena-singapur-65cm-3mm-dije-virgen-tallada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0551.jpg?v=1784686584,2,"",,,,,,,,
cadena-singapur-65cm-3mm-dije-virgen-tallada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DIJE_VIRGEN_TALLADA.png?v=1782306956,3,"",,,,,,,,
cadena-lazo-dije-dolar,Cadena Lazo + Dije Dolar,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,42793 -26787,500.0,shopify,continue,manual,80500,115000,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0681.jpg?v=1784686331,1,"",false,,,,kg,,,active
cadena-lazo-dije-dolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0684.jpg?v=1784686347,2,"",,,,,,,,
